Closing Spread,Game Count,Win Record,Win %,Average MOV,Cover Record,Cover %
27,1,0-1-0,0.0%,-16,1-0-0,100.0%
24,1,0-1-0,0.0%,-3,1-0-0,100.0%
22,1,0-1-0,0.0%,-21,1-0-0,100.0%
21.5,1,0-1-0,0.0%,-25,0-1-0,0.0%
20.5,3,0-3-0,0.0%,-11,3-0-0,100.0%
20,1,0-1-0,0.0%,-26,0-1-0,0.0%
19.5,2,0-2-0,0.0%,-27,0-2-0,0.0%
19,1,0-1-0,0.0%,-3,1-0-0,100.0%
18.5,2,0-2-0,0.0%,-27,1-1-0,50.0%
18,1,0-1-0,0.0%,-43,0-1-0,0.0%
17.5,1,0-1-0,0.0%,-32,0-1-0,0.0%
17,15,2-13-0,13.3%,-16.8,7-7-1,50.0%
16.5,14,1-13-0,7.1%,-15.64,7-7-0,50.0%
16,18,0-18-0,0.0%,-17.94,8-8-2,50.0%
15.5,10,0-10-0,0.0%,-21.3,3-7-0,30.0%
15,5,0-5-0,0.0%,-20.6,2-2-1,50.0%
14.5,19,4-15-0,21.1%,-7.74,13-6-0,68.4%
14,70,5-65-0,7.1%,-14.69,36-31-3,53.7%
13.5,47,9-38-0,19.1%,-12.83,26-21-0,55.3%
13,64,9-54-1,14.8%,-10.27,33-30-1,52.4%
12.5,48,7-41-0,14.6%,-13.81,23-25-0,47.9%
12,17,2-15-0,11.8%,-13.35,7-10-0,41.2%
11.5,28,4-24-0,14.3%,-12.36,14-14-0,50.0%
11,68,10-58-0,14.7%,-12.25,34-34-0,50.0%
10.5,89,12-77-0,13.5%,-12.9,42-47-0,47.2%
10,191,40-151-0,20.9%,-8.8,104-75-12,58.1%
9.5,124,14-109-1,11.7%,-12.48,60-64-0,48.4%
9,159,40-119-0,25.2%,-9.5,81-78-0,50.9%
8.5,63,16-47-0,25.4%,-8.79,32-31-0,50.8%
8,67,15-52-0,22.4%,-9.25,29-38-0,43.3%
7.5,199,53-146-0,26.6%,-7.25,111-88-0,55.8%
7,416,103-311-2,25.0%,-8.79,193-199-24,49.2%
6.5,283,76-207-0,26.9%,-6.66,151-132-0,53.4%
6,300,98-201-1,32.8%,-5.82,160-129-11,55.4%
5.5,194,57-136-1,29.6%,-6.51,98-96-0,50.5%
5,137,55-81-1,40.5%,-3.52,75-61-1,55.1%
4.5,210,69-141-0,32.9%,-5.02,100-110-0,47.6%
4,292,101-191-0,34.6%,-4.48,136-148-8,47.9%
3.5,483,167-315-1,34.7%,-4.8,236-247-0,48.9%
3,982,424-556-2,43.3%,-2.61,476-425-81,52.8%
2.5,395,170-224-1,43.2%,-1.31,197-198-0,49.9%
2,149,79-69-1,53.4%,0.77,82-63-4,56.6%
1.5,168,73-94-1,43.8%,-1.32,77-91-0,45.8%
1,403,200-203-0,49.6%,-0.41,200-194-9,50.8%
0.5,3,1-2-0,33.3%,-4,1-2-0,33.3%
0,138,69-69-0,50.0%,0,69-69-0,50.0%
-0.5,3,2-1-0,66.7%,4,2-1-0,66.7%
-1,403,203-200-0,50.4%,0.41,194-200-9,49.2%
-1.5,168,94-73-1,56.3%,1.32,91-77-0,54.2%
-2,149,69-79-1,46.6%,-0.77,63-82-4,43.4%
-2.5,395,224-170-1,56.8%,1.31,198-197-0,50.1%
-3,982,556-424-2,56.7%,2.61,425-476-81,47.2%
-3.5,483,315-167-1,65.3%,4.8,247-236-0,51.1%
-4,292,191-101-0,65.4%,4.48,148-136-8,52.1%
-4.5,210,141-69-0,67.1%,5.02,110-100-0,52.4%
-5,137,81-55-1,59.5%,3.52,61-75-1,44.9%
-5.5,194,136-57-1,70.4%,6.51,96-98-0,49.5%
-6,300,201-98-1,67.2%,5.82,129-160-11,44.6%
-6.5,283,207-76-0,73.1%,6.66,132-151-0,46.6%
-7,416,311-103-2,75.0%,8.79,199-193-24,50.8%
-7.5,199,146-53-0,73.4%,7.25,88-111-0,44.2%
-8,67,52-15-0,77.6%,9.25,38-29-0,56.7%
-8.5,63,47-16-0,74.6%,8.79,31-32-0,49.2%
-9,159,119-40-0,74.8%,9.5,78-81-0,49.1%
-9.5,124,109-14-1,88.3%,12.48,64-60-0,51.6%
-10,191,151-40-0,79.1%,8.8,75-104-12,41.9%
-10.5,89,77-12-0,86.5%,12.9,47-42-0,52.8%
-11,68,58-10-0,85.3%,12.25,34-34-0,50.0%
-11.5,28,24-4-0,85.7%,12.36,14-14-0,50.0%
-12,17,15-2-0,88.2%,13.35,10-7-0,58.8%
-12.5,48,41-7-0,85.4%,13.81,25-23-0,52.1%
-13,64,54-9-1,85.2%,10.27,30-33-1,47.6%
-13.5,47,38-9-0,80.9%,12.83,21-26-0,44.7%
-14,70,65-5-0,92.9%,14.69,31-36-3,46.3%
-14.5,19,15-4-0,78.9%,7.74,6-13-0,31.6%
-15,5,5-0-0,100.0%,20.6,2-2-1,50.0%
-15.5,10,10-0-0,100.0%,21.3,7-3-0,70.0%
-16,18,18-0-0,100.0%,17.94,8-8-2,50.0%
-16.5,14,13-1-0,92.9%,15.64,7-7-0,50.0%
-17,15,13-2-0,86.7%,16.8,7-7-1,50.0%
-17.5,1,1-0-0,100.0%,32,1-0-0,100.0%
-18,1,1-0-0,100.0%,43,1-0-0,100.0%
-18.5,2,2-0-0,100.0%,27,1-1-0,50.0%
-19,1,1-0-0,100.0%,3,0-1-0,0.0%
-19.5,2,2-0-0,100.0%,27,2-0-0,100.0%
-20,1,1-0-0,100.0%,26,1-0-0,100.0%
-20.5,3,3-0-0,100.0%,11,0-3-0,0.0%
-21.5,1,1-0-0,100.0%,25,1-0-0,100.0%
-22,1,1-0-0,100.0%,21,0-1-0,0.0%
-24,1,1-0-0,100.0%,3,0-1-0,0.0%
-27,1,1-0-0,100.0%,16,0-1-0,0.0%
,,,,,,
